,company.name,country,city,name,type,date
0,Siemens, AZ,Phoenix,"Business Development Specialist, Industrial Computing / PC-based Automation / AI & Edge-Computing (Location: Phoenix, AZ)",external,2023-05-02
1,Siemens, FL,Tampa,"Account Executive, Automation Service ~ Tampa",external,2023-03-23
2,Siemens, Germany,Erlangen,Senior Software Developer (m/w/d),external,2023-05-03
3,Siemens, OK,Enid,"Sr Sales Executive, Automation Solutions  ~ Oklahoma City",external,2023-04-22
4,SpaceX, CA,El Segundo,Sr. Full Stack Engineer (IT Systems),external,2023-05-22
5,Siemens, Portugal,Sequeira,Mid-level to Senior PHP Developer (m/f/d),external,2023-03-01
6,SpaceX, TX,Lockhart,Production Development Engineer (Starlink),external,2023-05-23
7,Adyen, Netherlands,Amsterdam,Senior Counsel Product Development,external,2023-04-11
8,Siemens, Netherlands,Arnhem,Onderhoudstechnicus Fire Safety voor regio Eindhoven m/v,external,2023-01-25
9,Siemens, Ireland,Dublin,Control System Engineer,external,2023-05-26
10,Siemens, United Kingdom,Lincoln,Commercial Project Manager,external,2023-05-30
11,Siemens, Germany,Forchheim,Global Marketing Manager*in (w/m/d) für Bildgebung in der Radioonkologie,external,2023-05-23
12,Cisco Meraki, CA,San Jose,"Director, Quality Leader - Cisco Security Service Edge (SSE)",external,2023-06-09
13,Siemens, Canada,Quebec City,Inspecteur alarme incendie - Jonquière-Saguenay,external,2023-04-28
14,Siemens, Germany,Regensburg,Werkstudent*in (w/m/d) im strategischen Einkauf,external,2023-05-05
15,Siemens, CA,Reedley,Supply Chain Management Solution Consultant- REMOTE,external,2023-03-09
16,SpaceX, TX,Brownsville,Build Engineer (Crew Starship),external,2023-05-23
17,Siemens, Germany,Erlangen,Werkstudent*in (w/m/d) zur Unterstützung im Bereich Accounting Application Governance,external,2023-05-13
18,Siemens, Czech Republic,Ostrava,Programátor/Servisní technik - průmyslová automatizace (Ostrava),external,2023-05-12
19,Siemens, Germany,Munich,Maschinenbauingenieur (w/m/d) Lokomotiven,external,2023-05-25
