,company.name,country,city,name,type,date
0,Siemens, Slovakia,Žilina,ServiceNow Architect / Lead Developer,external,2023-03-31
1,Philips, TX,Dallas,"Healthcare Customer Project Manager - Home Based in Dallas, TX",external,2023-05-09
2,Siemens, Germany,Erlangen,Werkstudent*in (w/m/d) SharePoint Gestaltung,external,2023-05-23
3,Siemens, CA,Fremont,Verification IP Application Engineer EDA,external,2023-04-19
4,Siemens, AZ,Phoenix,"Business Development Specialist, Industrial Computing / PC-based Automation / AI & Edge-Computing (Location: Phoenix, AZ)",external,2023-05-02
5,Siemens, FL,Tampa,"Account Executive, Automation Service ~ Tampa",external,2023-03-23
6,Siemens, Germany,Erlangen,Senior Software Developer (m/w/d),external,2023-05-03
7,Siemens, OK,Enid,"Sr Sales Executive, Automation Solutions  ~ Oklahoma City",external,2023-04-22
8,SpaceX, CA,El Segundo,Sr. Full Stack Engineer (IT Systems),external,2023-05-22
9,Siemens, Portugal,Sequeira,Mid-level to Senior PHP Developer (m/f/d),external,2023-03-01
10,SpaceX, TX,Lockhart,Production Development Engineer (Starlink),external,2023-05-23
11,Adyen, Netherlands,Amsterdam,Senior Counsel Product Development,external,2023-04-11
12,Siemens, Netherlands,Arnhem,Onderhoudstechnicus Fire Safety voor regio Eindhoven m/v,external,2023-01-25
13,Siemens, Ireland,Dublin,Control System Engineer,external,2023-05-26
14,Siemens, United Kingdom,Lincoln,Commercial Project Manager,external,2023-05-30
15,Siemens, Germany,Forchheim,Global Marketing Manager*in (w/m/d) für Bildgebung in der Radioonkologie,external,2023-05-23
16,Cisco Meraki, CA,San Jose,"Director, Quality Leader - Cisco Security Service Edge (SSE)",external,2023-06-09
17,Siemens, Canada,Quebec City,Inspecteur alarme incendie - Jonquière-Saguenay,external,2023-04-28
18,SpaceX, WA,Redmond,Starlink Assembly Technician,external,2023-06-20
19,Siemens, Germany,Regensburg,Werkstudent*in (w/m/d) im strategischen Einkauf,external,2023-05-05
